Optimization Loop ID:  "A"
macd_chwin: 4        (dataspan: 40000)
EURUSD  M1 | 40000  (-0) | normal | Trades: 2984

EURUSD  M1 | 40000  (-0) | normal | Trades: 3852
EURUSD  M1 | 40000  (-0) | normal | Trades: 3606
EURUSD  M1 | 40000  (-0) | normal | Trades: 3446
EURUSD  M1 | 40000  (-0) | normal | Trades: 3406
EURUSD  M1 | 40000  (-0) | normal | Trades: 3212
EURUSD  M1 | 40000  (-0) | normal | Trades: 2984

EURUSD  M1 | 40000  (-0) | normal | Trades: 3406
EURUSD  M1 | 40000  (-0) | normal | Trades: 3212
EURUSD  M1 | 40000  (-0) | normal | Trades: 2984

EURUSD  M1 | 40000  (-0) | normal | Trades: 2984
-----------------------------------
